"ROUTE_ID","STOP_ID","SCHEDULED","REAL_TIME","DELAY"
"E","BLTE00","2012-10-01 06:52:37 AM","2012-10-01 06:54:31 AM","1.9"
"E","VSNA00","2012-10-01 06:53:20 AM","2012-10-01 06:56:01 AM","2.68"
"E","BISE00","2012-10-01 06:55:02 AM","2012-10-01 06:57:58 AM","2.93"
"E","BOCA00","2012-10-01 06:56:40 AM","2012-10-01 06:59:07 AM","2.45"
"E","BELL00","2012-10-01 06:57:45 AM","2012-10-01 07:00:04 AM","2.32"
"E","CLGE00","2012-10-01 06:58:40 AM","2012-10-01 07:01:05 AM","2.42"
"E","RSMA00","2012-10-01 06:59:30 AM","2012-10-01 07:01:54 AM","2.4"
"E","SVON00","2012-10-01 06:59:56 AM","2012-10-01 07:02:20 AM","2.4"
"E","GAIU00","2012-10-01 07:00:34 AM","2012-10-01 07:02:52 AM","2.3"
"E","CIPO00","2012-10-01 07:01:40 AM","2012-10-01 07:03:45 AM","2.08"
"E","PPAL00","2012-10-01 07:02:20 AM","2012-10-01 07:04:17 AM","1.95"
"E","NAIS00","2012-10-01 07:03:22 AM","2012-10-01 07:05:06 AM","1.73"
"E","MARG00","2012-10-01 07:03:56 AM","2012-10-01 07:05:50 AM","1.9"
"E","ANRS00","2012-10-01 07:05:00 AM","2012-10-01 07:07:01 AM","2.02"
"E","CRBS00","2012-10-01 07:06:07 AM","2012-10-01 07:08:10 AM","2.05"
"E","CHVA00","2012-10-01 07:06:44 AM","2012-10-01 07:08:50 AM","2.1"
"E","SSCH00","2012-10-01 07:07:41 AM","2012-10-01 07:09:53 AM","2.2"
"E","GRAV00","2012-10-01 07:08:16 AM","2012-10-01 07:10:25 AM","2.15"
"E","VLLA00","2012-10-01 07:09:22 AM","2012-10-01 07:11:00 AM","1.63"
"E","TRIZ00","2012-10-01 07:10:11 AM","2012-10-01 07:11:27 AM","1.27"
"E","HERM00","2012-10-01 07:11:20 AM","2012-10-01 07:12:46 AM","1.43"
"E","HERM00","2012-10-01 07:19:00 AM","2012-10-01 07:20:01 AM","1.02"
"E","TRIZ01","2012-10-01 07:20:25 AM","2012-10-01 07:21:32 AM","1.12"
"E","VLLA01","2012-10-01 07:21:36 AM","2012-10-01 07:22:34 AM","0.97"
"E","GRAV01","2012-10-01 07:22:45 AM","2012-10-01 07:23:30 AM","0.75"
"E","SSCH01","2012-10-01 07:23:31 AM","2012-10-01 07:24:32 AM","1.02"
"E","CHVA01","2012-10-01 07:25:00 AM","2012-10-01 07:25:39 AM","0.65"
"E","CRBS01","2012-10-01 07:25:46 AM","2012-10-01 07:26:28 AM","0.7"
"E","ANRS01","2012-10-01 07:27:00 AM","2012-10-01 07:27:41 AM","0.68"
"E","MARG01","2012-10-01 07:28:14 AM","2012-10-01 07:29:03 AM","0.82"
"E","NAIS01","2012-10-01 07:28:54 AM","2012-10-01 07:29:53 AM","0.98"
"E","PPAL01","2012-10-01 07:30:11 AM","2012-10-01 07:30:57 AM","0.77"
"E","CIPO01","2012-10-01 07:31:00 AM","2012-10-01 07:32:03 AM","1.05"
"E","GAIU01","2012-10-01 07:32:14 AM","2012-10-01 07:33:05 AM","0.85"
"E","SVON01","2012-10-01 07:33:12 AM","2012-10-01 07:33:59 AM","0.78"
"E","CLGE01","2012-10-01 07:34:40 AM","2012-10-01 07:35:52 AM","1.2"
"E","BELL01","2012-10-01 07:35:51 AM","2012-10-01 07:37:01 AM","1.17"
"E","BOCA01","2012-10-01 07:37:00 AM","2012-10-01 07:38:07 AM","1.12"
"E","BISE01","2012-10-01 07:39:10 AM","2012-10-01 07:44:31 AM","5.35"
"E","VSNA01","2012-10-01 07:40:40 AM","2012-10-01 07:52:28 AM","11.8"
"E","BLTE01","2012-10-01 07:42:07 AM","2012-10-01 07:54:37 AM","12.5"
"E","BOIS01","2012-10-01 07:42:40 AM","2012-10-01 07:54:55 AM","12.25"
"E","RUTH01","2012-10-01 07:44:16 AM","2012-10-01 07:55:49 AM","11.55"
"E","TCRE01","2012-10-01 07:44:55 AM","2012-10-01 07:56:10 AM","11.25"
"E","MGRE01","2012-10-01 07:45:47 AM","2012-10-01 07:56:36 AM","10.82"
"E","CRIG01","2012-10-01 07:47:08 AM","2012-10-01 07:57:16 AM","10.13"
"E","PLGE03","2012-10-01 07:48:20 AM","2012-10-01 07:58:39 AM","10.32"
"E","AUBI00","2012-10-01 07:52:49 AM","2012-10-01 08:02:08 AM","9.32"
"E","VOLL00","2012-10-01 07:53:39 AM","2012-10-01 08:03:05 AM","9.43"
"E","RLAC00","2012-10-01 07:55:00 AM","2012-10-01 08:05:04 AM","10.07"
"E","PLEV00","2012-10-01 07:56:03 AM","2012-10-01 08:06:56 AM","10.88"
"E","RIVE04","2012-10-01 07:57:00 AM","2012-10-01 08:08:55 AM","11.92"
"E","RIVE03","2012-10-01 08:07:00 AM","2012-10-01 08:11:09 AM","4.15"
"E","VOLL02","2012-10-01 08:08:41 AM","2012-10-01 08:14:07 AM","5.43"
"E","PLGE01","2012-10-01 08:12:00 AM","2012-10-01 08:16:02 AM","4.03"
"E","CRIG00","2012-10-01 08:13:12 AM","2012-10-01 08:17:11 AM","3.98"
"E","MGRE00","2012-10-01 08:14:24 AM","2012-10-01 08:18:04 AM","3.67"
"E","TCRE00","2012-10-01 08:15:13 AM","2012-10-01 08:18:31 AM","3.3"
"E","RUTH00","2012-10-01 08:15:51 AM","2012-10-01 08:19:10 AM","3.32"
"E","BOIS00","2012-10-01 08:17:14 AM","2012-10-01 08:20:44 AM","3.5"
"E","BLTE00","2012-10-01 08:17:52 AM","2012-10-01 08:21:12 AM","3.33"
"E","VSNA00","2012-10-01 08:18:40 AM","2012-10-01 08:22:33 AM","3.88"
"E","BISE00","2012-10-01 08:20:43 AM","2012-10-01 08:24:31 AM","3.8"
"E","BOCA00","2012-10-01 08:22:40 AM","2012-10-01 08:25:43 AM","3.05"
"E","BELL00","2012-10-01 08:23:45 AM","2012-10-01 08:26:43 AM","2.97"
"E","CLGE00","2012-10-01 08:24:40 AM","2012-10-01 08:27:41 AM","3.02"
"E","RSMA00","2012-10-01 08:25:30 AM","2012-10-01 08:28:44 AM","3.23"
"E","SVON00","2012-10-01 08:25:56 AM","2012-10-01 08:29:24 AM","3.47"
"E","GAIU00","2012-10-01 08:26:34 AM","2012-10-01 08:30:11 AM","3.62"
"E","CIPO00","2012-10-01 08:27:40 AM","2012-10-01 08:31:12 AM","3.53"
"E","PPAL00","2012-10-01 08:28:24 AM","2012-10-01 08:31:57 AM","3.55"
"E","NAIS00","2012-10-01 08:29:32 AM","2012-10-01 08:32:52 AM","3.33"
"E","MARG00","2012-10-01 08:30:09 AM","2012-10-01 08:33:42 AM","3.55"
"E","ANRS00","2012-10-01 08:31:20 AM","2012-10-01 08:34:43 AM","3.38"
"E","CRBS00","2012-10-01 08:32:27 AM","2012-10-01 08:35:51 AM","3.4"
"E","CHVA00","2012-10-01 08:33:04 AM","2012-10-01 08:36:21 AM","3.28"
"E","SSCH00","2012-10-01 08:34:01 AM","2012-10-01 08:37:07 AM","3.1"
"E","GRAV00","2012-10-01 08:34:36 AM","2012-10-01 08:37:56 AM","3.33"
"E","VLLA00","2012-10-01 08:35:42 AM","2012-10-01 08:39:00 AM","3.3"
"E","TRIZ00","2012-10-01 08:36:31 AM","2012-10-01 08:39:46 AM","3.25"
"E","HERM00","2012-10-01 08:37:40 AM","2012-10-01 08:40:38 AM","2.97"
"E","HERM00","2012-10-01 08:45:00 AM","2012-10-01 08:45:22 AM","0.37"
"E","TRIZ01","2012-10-01 08:46:18 AM","2012-10-01 08:46:33 AM","0.25"
"E","VLLA01","2012-10-01 08:47:23 AM","2012-10-01 08:47:10 AM","-0.22"
"E","GRAV01","2012-10-01 08:48:26 AM","2012-10-01 08:47:59 AM","-0.45"
"E","SSCH01","2012-10-01 08:49:08 AM","2012-10-01 08:48:53 AM","-0.25"
"E","CHVA01","2012-10-01 08:50:30 AM","2012-10-01 08:49:48 AM","-0.7"
"E","CRBS01","2012-10-01 08:51:12 AM","2012-10-01 08:50:21 AM","-0.85"
"E","ANRS01","2012-10-01 08:52:20 AM","2012-10-01 08:51:25 AM","-0.92"
"E","MARG01","2012-10-01 08:53:22 AM","2012-10-01 08:52:26 AM","-0.93"
"E","NAIS01","2012-10-01 08:53:55 AM","2012-10-01 08:52:57 AM","-0.97"
"E","PPAL01","2012-10-01 08:54:59 AM","2012-10-01 08:53:47 AM","-1.2"
"E","CIPO01","2012-10-01 08:55:40 AM","2012-10-01 08:54:41 AM","-0.98"
"E","GAIU01","2012-10-01 08:56:42 AM","2012-10-01 08:55:40 AM","-1.03"
"E","SVON01","2012-10-01 08:57:30 AM","2012-10-01 08:56:38 AM","-0.87"
"E","RSMA01","2012-10-01 08:57:59 AM","2012-10-01 08:57:08 AM","-0.85"
"E","CLGE01","2012-10-01 08:58:43 AM","2012-10-01 08:57:51 AM","-0.87"
"E","BELL01","2012-10-01 08:59:44 AM","2012-10-01 08:59:04 AM","-0.67"
"E","BOCA01","2012-10-01 09:00:43 AM","2012-10-01 09:00:01 AM","-0.7"
"E","BISE01","2012-10-01 09:02:17 AM","2012-10-01 09:01:14 AM","-1.05"
"E","VSNA01","2012-10-01 09:03:23 AM","2012-10-01 09:02:38 AM","-0.75"
"E","BLTE01","2012-10-01 09:04:39 AM","2012-10-01 09:04:08 AM","-0.52"
"E","BOIS01","2012-10-01 09:05:07 AM","2012-10-01 09:04:25 AM","-0.7"
"E","RUTH01","2012-10-01 09:06:31 AM","2012-10-01 09:05:23 AM","-1.13"
